"new","old"
"promo_eco_new",85.19,79.06
"promo_env_new",24.69,27.76
"promo_soc_new",46.91,56
"pattern_def_new",81.48,80.71
"pattern_imm_new",6.17,5.65
"pattern_rec_new",12.35,13.65
"type_funct_new",46.91,33.18
"type_mixed_new",53.09,66.82
"owner_private_new",79.01,58.16
"owner_both_new",20.99,41.84
"involvement_self_new",23.46,22.17
"involvement_between_new",60.49,59.67
"involvement_full_new",16.05,18.16
"integrated_total_new",69.14,71.7
"separated_total_new",30.86,28.3
"integrated_city_new",6.49,4.67
"integrated_country_new",28.57,29.48
"integrated_region_new",2.6,6.39
"integrated_global_new",33.77,33.91
"separated_city_new",16.88,13.76
"separated_country_new",9.09,8.11
"separated_region_new",2.6,3.69
"mediation_profit_new",83.75,79.2
"mediation_noProfit_new",16.25,20.8
"mediation_consumer_new",23.75,17.97
"mediation_provider_new",35,32.39
"mediation_both_new",20,22.93
"mediation_indirect_new",5,5.91
"money_C2C_new",13.92,28.44
"money_C2B2C_new",68.35,51.42
"money_C2B_new",6.33,8.06
"money_free_new",11.39,12.09
"transaction_new",78.67,63.96
"listing_new",4,7.36
"membership_new",10.67,21.83
"combinedFees_new",6.67,6.85
"android_new",29.63,19.29
"ios_new",30.86,24.47
"windows_new",2.47,1.88
